Feature, Estimator, Accuracy, Sample
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, linear, 0.4757954732528258, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, knn, 0.8360919540229885, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, logistic, 0.8328735632183909, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, gaussian, 0.8428735632183908, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, svc, 0.8294252873563218, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, decision_tree, 0.7559770114942529, 299
AgeAnginaBpCholesterolDepressionEcgHrPainSexSlopeSugarThalVessels, random_forest, 0.8026436781609195, 299
AgePainSex, linear, -0.5714016735157516, 920
AgePainSex, knn, 0.7367844170789472, 920
AgePainSex, logistic, 0.7738123494084224, 920
AgePainSex, gaussian, 0.7564555944289466, 920
AgePainSex, svc, 0.762954471895566, 920
AgePainSex, decision_tree, 0.7173017842372681, 920
AgePainSex, random_forest, 0.7401042389120931, 920
AgeBpSex, linear, -2.7300151304340146, 861
AgeBpSex, knn, 0.5771718791766908, 861
AgeBpSex, logistic, 0.6690189788826517, 861
AgeBpSex, gaussian, 0.6713311948676826, 861
AgeBpSex, svc, 0.657310879443999, 861
AgeBpSex, decision_tree, 0.5400828655439722, 861
AgeBpSex, random_forest, 0.5574979951884523, 861
AgeCholesterolSex, linear, -0.6146798063238634, 890
AgeCholesterolSex, knn, 0.6280198047894676, 890
AgeCholesterolSex, logistic, 0.6707297696061741, 890
AgeCholesterolSex, gaussian, 0.6932019634547724, 890
AgeCholesterolSex, svc, 0.6886567926455566, 890
AgeCholesterolSex, decision_tree, 0.5505890364317331, 890
AgeCholesterolSex, random_forest, 0.5785915333106345, 890
AgeSexSugar, linear, -0.19934461685340588, 830
AgeSexSugar, knn, 0.570888431775884, 830
AgeSexSugar, logistic, 0.6674230021129816, 830
AgeSexSugar, gaussian, 0.6746522676070135, 830
AgeSexSugar, svc, 0.6613989057274393, 830
AgeSexSugar, decision_tree, 0.5984981738801898, 830
AgeSexSugar, random_forest, 0.5985719883016386, 830
AgeEcgSex, linear, -0.7954348959043129, 918
AgeEcgSex, knn, 0.5730074390312818, 918
AgeEcgSex, logistic, 0.6742507025466352, 918
AgeEcgSex, gaussian, 0.679649908296472, 918
AgeEcgSex, svc, 0.6687925445288698, 918
AgeEcgSex, decision_tree, 0.5608852344476467, 918
AgeEcgSex, random_forest, 0.5577661585726101, 918
