Feature	Estimator	Accuracy
systolic_bp	linear	-0.0023172570212718346
systolic_bp	knn	0.6081868640148012
systolic_bp	logistic	0.6645235892691951
systolic_bp	gaussian	0.6687789084181313
systolic_bp	svc	0.6492599444958371
systolic_bp	decision_tree	0.6537465309898243
systolic_bp	random_forest	0.6169287696577244
tobacco_use	linear	0.05901388405699328
tobacco_use	knn	0.6491674375578168
tobacco_use	logistic	0.6969472710453284
tobacco_use	gaussian	0.6969472710453284
tobacco_use	svc	0.6948196114708602
tobacco_use	decision_tree	0.6536077705827937
tobacco_use	random_forest	0.6427844588344126
ldl_cholesterol	linear	0.03955645055429964
ldl_cholesterol	knn	0.638436632747456
ldl_cholesterol	logistic	0.6645698427382054
ldl_cholesterol	gaussian	0.6580481036077706
ldl_cholesterol	svc	0.6666512488436632
ldl_cholesterol	decision_tree	0.6231267345050879
ldl_cholesterol	random_forest	0.5973172987974098
abdominal_adiposity	linear	0.03420215029669364
abdominal_adiposity	knn	0.58422756706753
abdominal_adiposity	logistic	0.6687326549491213
abdominal_adiposity	gaussian	0.6622109158186864
abdominal_adiposity	svc	0.6688714153561517
abdominal_adiposity	decision_tree	0.558418131359852
abdominal_adiposity	random_forest	0.5669750231267345
family_history	linear	0.037540323920173146
family_history	knn	0.656059204440333
family_history	logistic	0.6256244218316374
family_history	gaussian	0.6277983348751157
family_history	svc	0.6256244218316374
family_history	decision_tree	0.6256244218316374
family_history	random_forest	0.6427844588344126
type_a	linear	-0.030518506113011757
type_a	knn	0.5907030527289547
type_a	logistic	0.6514801110083257
type_a	gaussian	0.6579093432007401
type_a	svc	0.6643848288621647
type_a	decision_tree	0.6600370027752082
type_a	random_forest	0.6600370027752082
overall_obesity	linear	-0.02429773282552008
overall_obesity	knn	0.5691489361702128
overall_obesity	logistic	0.6515726179463461
overall_obesity	gaussian	0.6493987049028677
overall_obesity	svc	0.6515263644773359
overall_obesity	decision_tree	0.5628122109158188
overall_obesity	random_forest	0.5519888991674375
alcohol_use	linear	-0.0359807554031293
alcohol_use	knn	0.5779833487511563
alcohol_use	logistic	0.6471322849213692
alcohol_use	gaussian	0.6363089731729881
alcohol_use	svc	0.6471322849213692
alcohol_use	decision_tree	0.5911655874190564
alcohol_use	random_forest	0.5738205365402405
age	linear	0.11242793654556582
age	knn	0.6278445883441258
age	logistic	0.6729879740980574
age	gaussian	0.696854764107308
age	svc	0.6773358001850138
age	decision_tree	0.6601295097132285
age	random_forest	0.6430157261794636
