Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
all,linear,0,0,0.17167037264930612,{'normalize': False},0,0,0,0,0,0
all,knn,0,0,0.6688251618871416,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
all,logistic,0,0,0.7185476410730806,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
all,gaussian,0,0,0.710037002775208,{},0,0,0,0,0,0
all,svc,0,0,0.7209065679925994,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
all,decision_tree,0,0,0.6189639222941721,"{'max_features': 'log2', 'max_leaf_nodes': 20, 'max_depth': 1}",0,0,0,0,0,0
all,random_forest,0,0,0.675531914893617,"{'max_features': 'sqrt', 'max_leaf_nodes': 25, 'bootstrap': False, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,linear,0,0,0.11104966428359367,{'normalize': False},0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,knn,0,0,0.6904717853839039,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,logistic,0,0,0.7013413506012952,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,gaussian,0,0,0.7250693802035152,{},0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,svc,0,0,0.7012488436632747,"{'C': 1000, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,decision_tree,0,0,0.6167900092506937,"{'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 25}",0,0,0,0,0,0
systolic_bp : tobacco_use : ldl_cholesterol,random_forest,0,0,0.6598519888991674,"{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,linear,0,0,0.08477388204061362,{'normalize': False},0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,knn,0,0,0.636308973172988,"{'n_neighbors': 10, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,logistic,0,0,0.6860777058279373,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,gaussian,0,0,0.6945883441258094,{},0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,svc,0,0,0.6709065679925994,"{'C': 1000, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,decision_tree,0,0,0.5544865864939871,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : tobacco_use : abdominal_adiposity,random_forest,0,0,0.6646160962072155,"{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 15}",0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,linear,0,0,0.12128243890457735,{'normalize': True},0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,knn,0,0,0.677382053654024,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,logistic,0,0,0.7079093432007401,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,gaussian,0,0,0.690518038852914,{},0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,svc,0,0,0.6861239592969473,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,decision_tree,0,0,0.6365402405180389,"{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 20}",0,0,0,0,0,0
systolic_bp : tobacco_use : family_history,random_forest,0,0,0.6362627197039779,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,linear,0,0,0.07713468591103387,{'normalize': True},0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,knn,0,0,0.6339500462534691,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,logistic,0,0,0.6794172062904719,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,gaussian,0,0,0.6947271045328399,{},0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,svc,0,0,0.6903792784458834,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,decision_tree,0,0,0.6102220166512489,"{'max_features': 'log2', 'max_leaf_nodes': 20, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : type_a,random_forest,0,0,0.6708140610545791,"{'max_features': 'sqrt', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,linear,0,0,0.06648689169990804,{'normalize': True},0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,knn,0,0,0.6318223866790009,"{'n_neighbors': 30, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,logistic,0,0,0.6773358001850138,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
