State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Min_Population_Size,Max_Population_Size,Population_Density,Min_Population_Density,Max_Population_Density,Poverty,Min_Poverty,Max_Poverty,Age_19_Under,Min_Age_19_Under,Max_Age_19_Under,Age_19_64,Min_Age_19_64,Max_Age_19_65,Age_65_84,Min_Age_65_84,Max_Age_65_85,Age_85_and_Over,Min_Age_85_and_Over,Max_Age_85_and_Over,White,Min_White,Max_White,Black,Min_Black,Max_Black,Native_American,Min_Native_American,Max_Native_American,Asian,Min_Asian,Max_Asian,Hispanic,Min_Hispanic,Max_Hispanic
01,001,Autauga,Alabama,AL,29,"frontier status, population size, poverty, age",37,48612,28447,55936,82,40,141,10.4,9.5,12.9,26.9,23.7,32.3,62.3,58.8,64.1,9.8,7.3,12,0.9,0.8,2.1,80.7,80.7,98.5,17.3,0.4,17.3,0.5,0.1,1.1,0.6,0.2,2.2,1.7,0.8,19.2
01,003,Baldwin,Alabama,AL,16,"frontier status, population size, poverty, age",27,162586,118395,277035,102,39,457,10.2,9.7,12.9,23.5,21.3,25.4,60.3,55.3,62,14.5,11.8,19.5,1.8,1.9,3.4,88.4,83.5,96.3,9.9,1,14.1,0.5,0.1,1.1,0.4,0.4,3.3,2.3,0.8,13.7
01,005,Barbour,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,28414,27269,43226,32,14,41,22.1,18,24.6,24.3,23.5,32.2,62.5,54.9,62.5,11.6,9.6,12.6,1.6,1.2,1.8,52.2,48.6,97,46.8,0.7,50.7,0.4,0.2,7.1,0.3,0.2,2.3,3.1,1,67.7
01,007,Bibb,Alabama,AL,42,"frontier status, population size, poverty, age",53,21516,8134,24778,35,9,66,16.8,12.5,16.4,24.6,24.4,32.4,63.3,55.8,63.2,10.9,9.2,13.3,1.2,1,2.1,76.8,63.9,97.6,22.5,0.3,35.4,0.3,0.1,2.6,0.1,0.1,1.5,1.4,1.2,46.9
01,009,Blount,Alabama,AL,28,"frontier status, population size, poverty, age",39,55725,29009,53844,86,30,229,11.9,9.4,13.4,24.5,21.8,26.1,62.1,61,66.2,12.1,8.8,13.5,1.3,1.2,2.1,97.1,78.1,97.6,1.5,0.6,20.5,0.5,0.1,0.9,0.2,0.3,2.2,6.3,0.8,6.3
01,011,Bullock,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,11055,6228,19495,18,15,22,26.2,17,24.9,24.7,22.3,28.6,63.2,55.2,63.8,10,11,15.1,2.2,1.8,2.6,27.8,30,97.1,71.4,1.1,69.6,0.4,0.1,1.6,0.2,0.1,0.5,5.9,0.7,37.8
01,013,Butler,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20766,9226,23786,27,24,42,20,16.7,23.3,25.6,24.8,29.5,58.5,56.1,60.6,13.6,11.1,14.3,2.4,1.6,2.6,57.5,48.3,91.8,41.9,4.4,50.9,0.2,0,2,0.3,0.2,0.7,0.9,0.9,12.1
01,015,Calhoun,Alabama,AL,6,"frontier status, population size, poverty",53,112141,111380,231954,184,43,697,16.4,12.4,16.5,24.1,22.4,29.6,61.6,57.8,62.9,12.7,8.5,16.2,1.5,1.1,2.7,78.3,65.8,95,19.7,1,30.1,0.4,0.3,1.9,0.8,0.7,3.4,2,1.9,21
01,017,Chambers,Alabama,AL,50,"frontier status, population size, poverty, age, population density",27,35460,27028,48148,59,56,140,16.2,13.7,16.2,24.8,20.8,25.3,59.5,56.8,63.8,13.5,11.6,16.2,2.2,1.7,3.3,60.8,70.1,98.4,38.6,0.3,28.8,0.1,0.1,0.5,0.2,0.2,1.9,1.2,0.6,3.1
01,019,Cherokee,Alabama,AL,64,"frontier status, population size, poverty, age, population density",41,24522,9340,25391,44,35,46,15.2,12,15.7,21.9,19.6,24.3,61.4,58.6,61.6,15.2,12.9,17.7,1.4,1.6,2.9,93.3,87.8,98.8,5.5,0.4,10.8,0.3,0.1,0.9,0.3,0.1,0.5,1.1,0.6,7.8
