State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,A_Wh_Comp,CI_Min_A_Wh_Comp,CI_Max_A_Wh_Comp,A_Bl_Comp,CI_Min_A_Bl_Comp,CI_Max_A_Bl_Comp,A_Ot_Comp,CI_Min_A_Ot_Comp,CI_Max_A_Ot_Comp,A_Hi_Comp,CI_Min_A_Hi_Comp,CI_Max_A_Hi_Comp,A_Wh_BirthDef,CI_Min_A_Wh_BirthDef,CI_Max_A_Wh_BirthDef,A_Bl_BirthDef,CI_Min_A_Bl_BirthDef,CI_Max_A_Bl_BirthDef,A_Ot_BirthDef,CI_Min_A_Ot_BirthDef,CI_Max_A_Ot_BirthDef,A_Hi_BirthDef,CI_Min_A_Hi_BirthDef,CI_Max_A_Hi_BirthDef,B_Wh_Injury,CI_Min_B_Wh_Injury,CI_Max_B_Wh_Injury,B_Bl_Injury,CI_Min_B_Bl_Injury,CI_Max_B_Bl_Injury,B_Ot_Injury,CI_Min_B_Ot_Injury,CI_Max_B_Ot_Injury,B_Hi_Injury,CI_Min_B_Hi_Injury,CI_Max_B_Hi_Injury,B_Wh_Cancer,CI_Min_B_Wh_Cancer,CI_Max_B_Wh_Cancer,B_Bl_Cancer,CI_Min_B_Bl_Cancer,CI_Max_B_Bl_Cancer,B_Ot_Cancer,CI_Min_B_Ot_Cancer,CI_Max_B_Ot_Cancer,B_Hi_Cancer,CI_Min_B_Hi_Cancer,CI_Max_B_Hi_Cancer,B_Wh_Homicide,CI_Min_B_Wh_Homicide,CI_Max_B_Wh_Homicide,B_Bl_Homicide,CI_Min_B_Bl_Homicide,CI_Max_B_Bl_Homicide,B_Ot_Homicide,CI_Min_B_Ot_Homicide,CI_Max_B_Ot_Homicide,B_Hi_Homicide,CI_Min_B_Hi_Homicide,CI_Max_B_Hi_Homicide,C_Wh_Injury,CI_Min_C_Wh_Injury,CI_Max_C_Wh_Injury,C_Bl_Injury,CI_Min_C_Bl_Injury,CI_Max_C_Bl_Injury,C_Ot_Injury,CI_Min_C_Ot_Injury,CI_Max_C_Ot_Injury,C_Hi_Injury,CI_Min_C_Hi_Injury,CI_Max_C_Hi_Injury,C_Wh_Homicide,CI_Min_C_Wh_Homicide,CI_Max_C_Wh_Homicide,C_Bl_Homicide,CI_Min_C_Bl_Homicide,CI_Max_C_Bl_Homicide,C_Ot_homicide,CI_Min_C_Ot_homicide,CI_Max_C_Ot_homicide,C_Hi_Homicide,CI_Min_C_Hi_Homicide,CI_Max_C_Hi_Homicide,C_Wh_Suicide,CI_Min_C_Wh_Suicide,CI_Max_C_Wh_Suicide,C_Bl_Suicide,CI_Min_C_Bl_Suicide,CI_Max_C_Bl_Suicide,C_Ot_Suicide,CI_Min_C_Ot_Suicide,CI_Max_C_Ot_Suicide,C_Hi_Suicide,CI_Min_C_Hi_Suicide,CI_Max_C_Hi_Suicide,C_Wh_Cancer,CI_Min_C_Wh_Cancer,CI_Max_C_Wh_Cancer,C_Bl_Cancer,CI_Min_C_Bl_Cancer,CI_Max_C_Bl_Cancer,C_Ot_Cancer,CI_Min_C_Ot_Cancer,CI_Max_C_Ot_Cancer,C_Hi_Cancer,CI_Min_C_Hi_Cancer,CI_Max_C_Hi_Cancer,D_Wh_Injury,CI_Min_D_Wh_Injury,CI_Max_D_Wh_Injury,D_Bl_Injury,CI_Min_D_Bl_Injury,CI_Max_D_Bl_Injury,D_Ot_Injury,CI_Min_D_Ot_Injury,CI_Max_D_Ot_Injury,D_Hi_Injury,CI_Min_D_Hi_Injury,CI_Max_D_Hi_Injury,D_Wh_Cancer,CI_Min_D_Wh_Cancer,CI_Max_D_Wh_Cancer,D_Bl_Cancer,CI_Min_D_Bl_Cancer,CI_Max_D_Bl_Cancer,D_Ot_Cancer,CI_Min_D_Ot_Cancer,CI_Max_D_Ot_Cancer,D_Hi_Cancer,CI_Min_D_Hi_Cancer,CI_Max_D_Hi_Cancer,D_Wh_HeartDis,CI_Min_D_Wh_HeartDis,CI_Max_D_Wh_HeartDis,D_Bl_HeartDis,CI_Min_D_Bl_HeartDis,CI_Max_D_Bl_HeartDis,D_Ot_HeartDis,CI_Min_D_Ot_HeartDis,CI_Max_D_Ot_HeartDis,D_Hi_HeartDis,CI_Min_D_Hi_HeartDis,CI_Max_D_Hi_HeartDis,D_Wh_Suicide,CI_Min_D_Wh_Suicide,CI_Max_D_Wh_Suicide,D_Bl_Suicide,CI_Min_D_Bl_Suicide,CI_Max_D_Bl_Suicide,D_Ot_Suicide,CI_Min_D_Ot_Suicide,CI_Max_D_Ot_Suicide,D_Hi_Suicide,CI_Min_D_Hi_Suicide,CI_Max_D_Hi_Suicide,D_Wh_HIV,CI_Min_D_Wh_HIV,CI_Max_D_Wh_HIV,D_Bl_HIV,CI_Min_D_Bl_HIV,CI_Max_D_Bl_HIV,D_Ot_HIV,CI_Min_D_Ot_HIV,CI_Max_D_Ot_HIV,D_Hi_HIV,CI_Min_D_Hi_HIV,CI_Max_D_Hi_HIV,D_Wh_Homicide,CI_Min_D_Wh_Homicide,CI_Max_D_Wh_Homicide,D_Bl_Homicide,CI_Min_D_Bl_Homicide,CI_Max_D_Bl_Homicide,D_Ot_Homicide,CI_Min_D_Ot_Homicide,CI_Max_D_Ot_Homicide,D_Hi_Homicide,CI_Min_D_Hi_Homicide,CI_Max_D_Hi_Homicide,E_Wh_Cancer,CI_Min_E_Wh_Cancer,CI_Max_E_Wh_Cancer,E_Bl_Cancer,CI_Min_E_Bl_Cancer,CI_Max_E_Bl_Cancer,E_Ot_Cancer,CI_Min_E_Ot_Cancer,CI_Max_E_Ot_Cancer,E_Hi_Cancer,CI_Min_E_Hi_Cancer,CI_Max_E_Hi_Cancer,E_Wh_HeartDis,CI_Min_E_Wh_HeartDis,CI_Max_E_Wh_HeartDis,E_Bl_HeartDis,CI_Min_E_Bl_HeartDis,CI_Max_E_Bl_HeartDis,E_Ot_HeartDis,CI_Min_E_Ot_HeartDis,CI_Max_E_Ot_HeartDis,E_Hi_HeartDis,CI_Min_E_Hi_HeartDis,CI_Max_E_Hi_HeartDis,F_Wh_HeartDis,CI_Min_F_Wh_HeartDis,CI_Max_F_Wh_HeartDis,F_Bl_HeartDis,CI_Min_F_Bl_HeartDis,CI_Max_F_Bl_HeartDis,F_Ot_HeartDis,CI_Min_F_Ot_HeartDis,CI_Max_F_Ot_HeartDis,F_Hi_HeartDis,CI_Min_F_Hi_HeartDis,CI_Max_F_Hi_HeartDis,F_Wh_Cancer,CI_Min_F_Wh_Cancer,CI_Max_F_Wh_Cancer,F_Bl_Cancer,CI_Min_F_Bl_Cancer,CI_Max_F_Bl_Cancer,F_Ot_Cancer,CI_Min_F_Ot_Cancer,CI_Max_F_Ot_Cancer,F_Hi_Cancer,CI_Min_F_Hi_Cancer,CI_Max_F_Hi_Cancer,LCD_Time_Span
1,1,Autauga,Alabama,AL,29,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,24,15,32,24,9,38,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,18,5,30,-1111,-1111,-1111,-1111,-1111,-1111,22,14,30,12,-2222,-2222,-1111,-1111,-1111,-1111,-1111,-1111,14,7,20,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,36,30,41,23,14,32,-1111,-1111,-1111,-1111,-1111,-1111,23,18,27,30,21,40,-1111,-1111,-1111,-1111,-1111,-1111,32,29,35,38,32,44,-1111,-1111,-1111,-1111,-1111,-1111,20,18,23,19,14,23,-1111,-1111,-1111,-1111,-1111,-1111,1999-2003
1,3,Baldwin,Alabama,AL,16,57,39,75,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,21,6,37,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,63,50,75,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,30,24,37,13,2,24,-1111,-1111,-1111,-1111,-1111,-1111,11,6,15,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,16,11,21,18,6,31,-1111,-1111,-1111,-1111,-1111,-1111,13,8,17,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,21,8,34,-1111,-1111,-1111,-1111,-1111,-1111,37,33,41,28,20,37,-1111,-1111,-1111,-1111,-1111,-1111,22,19,25,33,24,42,-1111,-1111,-1111,-1111,-1111,-1111,30,29,32,32,26,38,-1111,-1111,-1111,-1111,-1111,-1111,23,22,25,20,15,25,-1111,-1111,-1111,-1111,-1111,-1111,2001-2003
1,5,Barbour,Alabama,AL,51,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,18,6,31,19,9,30,-1111,-1111,-1111,-1111,-1111,-1111,21,8,34,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,11,-2222,-2222,25,13,37,-1111,-1111,-1111,-1111,-1111,-1111,18,6,31,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,31,24,38,26,19,33,-1111,-1111,-1111,-1111,-1111,-1111,29,22,36,35,27,43,-1111,-1111,-1111,-1111,-1111,-1111,33,29,36,29,25,34,-1111,-1111,-1111,-1111,-1111,-1111,20,17,23,26,22,31,-1111,-1111,-1111,-1111,-1111,-1111,1999-2003
1,7,Bibb,Alabama,AL,42,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,63,48,78,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,13,2,24,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,29,20,38,24,9,38,-1111,-1111,-1111,-1111,-1111,-1111,16,9,24,21,7,34,-1111,-1111,-1111,-1111,-1111,-1111,13,7,20,18,5,30,-1111,-1111,-1111,-1111,-1111,-1111,12,6,19,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,33,28,38,29,19,39,-1111,-1111,-1111,-1111,-1111,-1111,23,19,28,29,19,39,-1111,-1111,-1111,-1111,-1111,-1111,31,28,34,26,20,32,-1111,-1111,-1111,-1111,-1111,-1111,18,16,20,20,14,25,-1111,-1111,-1111,-1111,-1111,-1111,1994-2003
1,9,Blount,Alabama,AL,28,34,17,52,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,34,17,52,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,64,49,79,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,22,15,29,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,16,10,22,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,18,11,24,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,13,8,19,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,37,33,42,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,23,19,27,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,34,32,36,36,17,55,-1111,-1111,-1111,-1111,-1111,-1111,20,19,22,28,10,46,-1111,-1111,-1111,-1111,-1111,-1111,1999-2003
1,11,Bullock,Alabama,AL,75,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,40,19,61,22,13,32,-1111,-1111,-1111,-1111,-1111,-1111,10,-2222,-2222,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,15,-2222,-2222,20,11,29,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,25,14,37,26,20,32,-1111,-1111,-1111,-1111,-1111,-1111,31,19,43,33,27,39,-1111,-1111,-1111,-1111,-1111,-1111,39,34,45,33,29,37,-1111,-1111,-1111,-1111,-1111,-1111,16,12,20,20,17,23,-1111,-1111,-1111,-1111,-1111,-1111,1994-2003
1,13,Butler,Alabama,AL,76,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,67,48,86,20,6,34,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,13,-2222,-2222,-1111,-1111,-1111,-1111,-1111,-1111,13,-2222,-2222,23,8,38,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,33,23,44,22,14,31,-1111,-1111,-1111,-1111,-1111,-1111,12,4,19,10,4,16,-1111,-1111,-1111,-1111,-1111,-1111,18,9,26,18,10,26,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,16,8,23,-1111,-1111,-1111,-1111,-1111,-1111,35,29,40,18,13,23,-1111,-1111,-1111,-1111,-1111,-1111,30,25,36,34,28,40,-1111,-1111,-1111,-1111,-1111,-1111,42,39,44,45,41,49,-1111,-1111,-1111,-1111,-1111,-1111,17,15,19,19,16,22,-1111,-1111,-1111,-1111,-1111,-1111,1994-2003
1,15,Calhoun,Alabama,AL,6,36,16,56,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,14,-2222,-2222,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,57,43,72,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,11,2,19,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,33,25,40,13,4,22,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,11,3,19,-1111,-1111,-1111,-1111,-1111,-1111,15,10,21,24,13,35,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,24,13,35,-1111,-1111,-1111,-1111,-1111,-1111,28,25,32,23,16,30,-1111,-1111,-1111,-1111,-1111,-1111,28,24,31,37,29,45,-1111,-1111,-1111,-1111,-1111,-1111,34,33,36,30,26,35,-1111,-1111,-1111,-1111,-1111,-1111,19,18,21,20,16,24,-1111,-1111,-1111,-1111,-1111,-1111,2001-2003
1,17,Chambers,Alabama,AL,50,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,25,14,36,22,12,33,-1111,-1111,-1111,-1111,-1111,-1111,12,4,20,17,8,27,-1111,-1111,-1111,-1111,-1111,-1111,18,9,28,22,12,33,-1111,-1111,-1111,-1111,-1111,-1111,15,6,24,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,12,4,20,-1111,-1111,-1111,-1111,-1111,-1111,30,24,36,29,22,36,-1111,-1111,-1111,-1111,-1111,-1111,30,24,36,34,27,41,-1111,-1111,-1111,-1111,-1111,-1111,31,28,33,33,29,38,-1111,-1111,-1111,-1111,-1111,-1111,18,16,20,19,15,23,-1111,-1111,-1111,-1111,-1111,-1111,1999-2003
1,19,Cherokee,Alabama,AL,64,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,68,52,83,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,12,-2222,-2222,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,31,23,39,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,12,6,17,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,26,18,33,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,11,6,16,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,-1111,35,31,40,29,16,42,-1111,-1111,-1111,-1111,-1111,-1111,32,27,36,33,20,47,-1111,-1111,-1111,-1111,-1111,-1111,34,32,36,31,21,41,-1111,-1111,-1111,-1111,-1111,-1111,21,19,23,20,11,28,-1111,-1111,-1111,-1111,-1111,-1111,1994-2003
