State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,FluB_Rpt,FluB_Ind,FluB_Exp,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Rpt,Meas_Ind,Meas_Exp,Pert_Rpt,Pert_Ind,Pert_Exp,CRS_Rpt,CRS_Ind,CRS_Exp,Syphilis_Rpt,Syphilis_Ind,Syphilis_Exp,ID_Time_Span,Pap_Smear,CI_Min_Pap_Smear,CI_Max_Pap_Smear,Mammogram,CI_Min_Mammogram,CI_Max_Mammogram,Proctoscopy,CI_Min_Proctoscopy,CI_Max_Proctoscopy,Pneumo_Vax,CI_Min_Pneumo_Vax,CI_Max_Pneumo_Vax,Flu_Vac,CI_Min_Flu_Vac,CI_Max_Flu_Vac
01,001,Autauga,Alabama,AL,29,0,3,0,1,3,4,2,3,2,0,3,0,3,3,11,0,3,0,8,4,2,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,003,Baldwin,Alabama,AL,16,0,3,4,2,3,22,17,4,9,0,3,0,0,3,27,0,3,0,0,3,4,2001-2003,86.1,81.3,90.9,82,74.4,89.6,44.1,37.2,51.1,58.7,50.8,66.6,61.8,54.1,69.4
01,005,Barbour,Alabama,AL,51,0,3,0,2,3,7,0,3,6,0,3,0,0,3,6,0,3,0,6,4,3,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,007,Bibb,Alabama,AL,42,0,3,0,2,3,14,4,3,4,0,3,0,3,4,6,0,3,0,2,4,6,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,009,Blount,Alabama,AL,28,2,4,3,3,3,5,3,3,5,0,3,0,3,3,8,0,3,0,0,3,3,1999-2003,87.2,79.7,94.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,011,Bullock,Alabama,AL,75,0,3,0,1,3,8,1,3,3,0,3,0,0,3,7,0,3,0,4,4,5,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,013,Butler,Alabama,AL,76,0,3,0,0,3,9,5,3,6,0,3,0,0,3,2,0,3,0,7,3,21,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,015,Calhoun,Alabama,AL,6,1,3,0,2,3,10,7,3,13,0,3,0,0,3,13,0,3,0,7,4,7,2001-2003,82.7,77,88.4,76.5,67.3,85.6,46.2,37.8,54.6,57.3,47.6,67.1,56.2,46.6,65.9
01,017,Chambers,Alabama,AL,50,0,3,0,2,3,4,0,3,4,1,4,0,0,3,2,0,3,0,1,4,2,1999-2003,87.9,78.4,97.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,019,Cherokee,Alabama,AL,64,1,3,0,0,3,7,2,3,5,0,3,0,0,3,5,0,3,0,1,3,0,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,021,Chilton,Alabama,AL,32,0,3,0,5,4,4,0,3,4,0,3,0,1,3,2,0,3,0,3,4,2,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,023,Choctaw,Alabama,AL,66,0,3,0,0,3,18,1,3,5,0,3,0,0,3,2,0,3,0,3,3,8,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,025,Clarke,Alabama,AL,51,3,4,0,0,3,7,0,3,6,0,3,0,0,3,6,0,3,0,4,4,3,1999-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,027,Clay,Alabama,AL,63,0,3,0,1,3,11,2,3,4,0,3,0,1,4,1,0,3,0,7,4,4,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,029,Cleburne,Alabama,AL,41,0,3,1,1,3,3,0,3,4,0,3,0,1,4,1,0,3,0,2,3,3,1994-2003,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
01,031,Coffee,Alabama,AL,32,0,3,0,1,3,4,0,3,4,0,3,0,5,4,2,0,3,0,2,4,2,1999-2003,82.1,72.2,91.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1
