State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
01,001,Autauga,Alabama,AL,29,8,8,8,8,5,5,5,5,5,7,-1,5,8,8,5,6,8,8,8,8,8,7
01,003,Baldwin,Alabama,AL,16,8,8,8,8,5,5,5,6,6,5,-1,8,5,5,5,5,7,8,8,5,8,7
01,005,Barbour,Alabama,AL,51,8,8,8,8,5,8,8,6,5,7,-1,8,5,8,8,5,8,8,6,8,5,7
01,007,Bibb,Alabama,AL,42,8,8,8,8,5,5,6,8,8,7,-1,8,8,8,5,6,8,8,8,8,8,7
01,009,Blount,Alabama,AL,28,7,8,8,8,5,5,8,8,8,-1,8,8,8,8,5,5,7,8,8,5,8,7
01,011,Bullock,Alabama,AL,75,8,8,8,8,7,8,8,8,-1,7,-1,8,8,8,8,8,8,5,8,8,-1,7
01,013,Butler,Alabama,AL,76,6,6,8,6,7,8,6,5,5,5,-1,5,6,5,5,8,8,5,8,8,6,7
01,015,Calhoun,Alabama,AL,6,8,8,8,8,5,5,5,8,6,8,-1,8,8,8,5,6,8,8,8,8,6,7
01,017,Chambers,Alabama,AL,50,8,8,8,8,5,8,8,6,5,5,-1,6,6,8,5,5,8,6,8,8,6,7
01,019,Cherokee,Alabama,AL,64,8,7,7,8,5,5,5,8,6,-1,-1,5,8,5,5,5,-1,6,8,6,8,7
01,021,Chilton,Alabama,AL,32,8,8,8,8,5,5,8,8,8,8,-1,8,8,5,5,6,7,6,8,8,8,7
01,023,Choctaw,Alabama,AL,66,8,6,6,6,7,6,6,8,8,8,-1,8,8,8,8,6,8,8,8,8,5,5
01,025,Clarke,Alabama,AL,51,8,8,8,6,5,6,8,6,5,5,-1,5,6,5,8,6,8,5,8,8,5,5
01,027,Clay,Alabama,AL,63,8,8,8,8,5,5,8,8,6,8,-1,8,5,5,5,8,8,6,8,8,6,7
01,029,Cleburne,Alabama,AL,41,6,8,5,8,5,5,5,6,5,-1,-1,5,8,5,5,5,8,5,8,5,8,5
01,031,Coffee,Alabama,AL,32,8,5,8,8,5,5,8,5,5,5,-1,5,5,7,5,6,-1,8,6,6,8,5
01,033,Colbert,Alabama,AL,21,8,8,8,8,5,5,7,8,8,7,-1,7,8,8,8,5,8,8,8,8,8,7
01,035,Conecuh,Alabama,AL,75,8,8,8,6,7,8,8,8,5,8,-1,8,6,6,6,6,8,6,8,8,6,7
01,037,Coosa,Alabama,AL,41,8,8,8,8,5,8,8,8,6,8,-1,8,8,5,6,6,8,6,8,5,-1,5
01,039,Covington,Alabama,AL,35,8,8,8,6,5,5,6,5,6,-1,-1,5,6,8,5,6,8,8,8,8,5,5
01,041,Crenshaw,Alabama,AL,71,8,8,8,6,5,8,5,8,8,8,-1,8,8,6,5,5,8,6,8,6,6,7
01,043,Cullman,Alabama,AL,21,8,5,8,8,5,5,5,8,8,-1,-1,8,5,8,5,8,-1,8,8,8,5,7
01,045,Dale,Alabama,AL,33,8,8,8,6,5,5,5,8,8,7,-1,8,6,5,6,6,5,8,6,6,5,7
01,047,Dallas,Alabama,AL,52,8,8,8,8,7,8,8,8,8,7,-1,5,8,6,8,6,8,6,6,8,5,7
01,049,DeKalb,Alabama,AL,24,8,8,8,8,5,5,8,6,8,-1,8,5,8,5,5,5,7,5,8,6,6,7
01,051,Elmore,Alabama,AL,19,8,8,8,8,5,7,5,8,5,8,-1,8,8,8,5,5,7,8,8,6,5,7
01,053,Escambia,Alabama,AL,51,8,8,8,6,7,8,8,8,8,8,-1,8,8,8,5,8,6,8,6,8,6,5
01,055,Etowah,Alabama,AL,6,8,5,8,8,5,5,8,8,8,5,-1,5,8,8,5,6,8,8,8,8,8,5
01,057,Fayette,Alabama,AL,63,8,7,8,8,5,5,5,6,6,-1,-1,8,5,5,5,5,8,6,8,6,6,5
01,059,Franklin,Alabama,AL,49,7,7,8,8,5,5,8,8,8,-1,-1,8,8,8,5,6,-1,8,8,8,6,7
01,061,Geneva,Alabama,AL,64,7,5,5,8,5,5,8,8,6,-1,-1,5,8,5,5,6,8,6,8,6,6,7
01,063,Greene,Alabama,AL,75,8,8,8,8,7,8,8,8,-1,5,-1,8,8,8,5,5,8,5,8,6,8,7
01,065,Hale,Alabama,AL,76,8,8,8,6,7,8,8,8,8,8,-1,8,8,8,6,6,8,6,8,8,5,5
01,067,Henry,Alabama,AL,63,8,8,8,8,5,8,8,8,5,7,-1,8,5,8,5,6,8,6,8,8,5,5
