State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
01,001,Autauga,Alabama,AL,29,74.9,74.5,78,76.5,1041.5,794.8,1008.8,898.6,993.1,1089.8,21.8,11.7,22.8,17.1,15.5,28.2,7.5,4,8.8,6,5.4,9.7
01,003,Baldwin,Alabama,AL,16,76.6,75.5,78.2,76.5,856.9,729.2,931.7,898.6,831.4,882.5,15.4,11.9,20.4,17.1,12.4,18.3,6.7,5.6,7.4,6,5.7,7.7
01,005,Barbour,Alabama,AL,51,74.5,72.3,77.3,76.5,1019.4,780.2,1108.1,898.6,968.4,1070.5,21.4,18.3,31.7,17.1,13.2,29.6,-1111.1,5.5,8,6,-1111.1,-1111.1
01,007,Bibb,Alabama,AL,42,73.2,73.3,77.8,76.5,1050.5,827.1,1110.4,898.6,1004.4,1096.5,19.4,13,29.3,17.1,10.1,28.7,-1111.1,4.7,8.2,6,-1111.1,-1111.1
01,009,Blount,Alabama,AL,28,76.1,74.9,79.4,76.5,954.2,722,1002.4,898.6,916.2,992.1,25.8,10.1,24.6,17.1,19.6,32.1,7.9,4.2,7.8,6,6,9.8
01,011,Bullock,Alabama,AL,75,71.9,72.1,76.4,76.5,1107.6,908.9,1153.6,898.6,1048.4,1166.7,-1111.1,18.5,33,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
01,013,Butler,Alabama,AL,76,73,72.2,75.5,76.5,1084.2,992.4,1133,898.6,1043.9,1124.6,21.6,17.4,31.8,17.1,13.8,29.5,6.9,5.3,8.8,6,4.5,9.3
01,015,Calhoun,Alabama,AL,6,73.1,73.5,77.3,76.5,1100.3,829.9,1032.7,898.6,1065.6,1135,26.7,12.7,21.7,17.1,22.6,30.8,8,5.2,7.6,6,6.8,9.2
01,017,Chambers,Alabama,AL,50,73.8,73.4,76.9,76.5,1075.6,879.5,1101.8,898.6,1032.4,1118.8,32.3,17.5,29.5,17.1,22.8,41.9,7.9,5.5,8.7,6,5.5,10.3
01,019,Cherokee,Alabama,AL,64,75.3,74,76.9,76.5,999.3,869,1083.5,898.6,960.5,1038.1,-1111.1,12.2,30.3,17.1,-1111.1,-1111.1,8.8,5.2,9.5,6,5.9,11.8
01,021,Chilton,Alabama,AL,32,74.1,73.4,77.9,76.5,1040.4,824,1076.8,898.6,995.4,1085.5,26,9.1,27.7,17.1,19.4,32.7,9.7,5.5,8.6,6,7.5,11.9
01,023,Choctaw,Alabama,AL,66,74.6,71.9,77,76.5,975.7,868.3,1244.2,898.6,929.6,1021.8,29.8,14,33.7,17.1,20,39.6,-1111.1,4,8.5,6,-1111.1,-1111.1
01,025,Clarke,Alabama,AL,51,74,72.3,77.3,76.5,982,780.2,1108.1,898.6,931.2,1032.8,-1111.1,18.3,31.7,17.1,-1111.1,-1111.1,5.8,5.5,8,6,3.6,8
01,027,Clay,Alabama,AL,63,74.9,74.5,77,76.5,950.3,872.1,1044.9,898.6,904.6,996,-1111.1,13,31.9,17.1,-1111.1,-1111.1,7.1,5,9.1,6,4.6,9.6
01,029,Cleburne,Alabama,AL,41,75.3,73.3,76.8,76.5,1072.8,909.2,1133.1,898.6,1018.9,1126.7,-1111.1,12.9,25.5,17.1,-1111.1,-1111.1,8,4.5,8.5,6,5.1,10.8
01,031,Coffee,Alabama,AL,32,75.9,73.4,77.9,76.5,923.6,824,1076.8,898.6,885,962.2,19.1,9.1,27.7,17.1,13.7,24.4,7.1,5.5,8.6,6,5.4,8.8
01,033,Colbert,Alabama,AL,21,75.3,75.3,78.9,76.5,964.4,755.9,958.4,898.6,930.2,998.6,20.3,13,23.4,17.1,14.6,26.1,5.6,5.3,7.4,6,4.1,7.1
01,035,Conecuh,Alabama,AL,75,73,72.1,76.4,76.5,1093.6,908.9,1153.6,898.6,1043.1,1144.1,19.1,18.5,33,17.1,9.3,28.9,7.4,4.2,9.4,6,4.6,10.1
01,037,Coosa,Alabama,AL,41,74.9,73.3,76.8,76.5,909.2,909.2,1133.1,898.6,856.9,961.5,18.3,12.9,25.5,17.1,8.9,27.7,4.9,4.5,8.5,6,2.2,7.5
01,039,Covington,Alabama,AL,35,74.7,73.5,75.7,76.5,999.7,930.6,1096.3,898.6,959.9,1039.5,22,20.5,30.1,17.1,15.4,28.6,5.2,5.2,8.7,6,3.6,6.8
01,041,Crenshaw,Alabama,AL,71,73.7,73.1,76.2,76.5,1058.7,937.7,1087.4,898.6,1009.4,1107.9,-1111.1,18.4,35.9,17.1,-1111.1,-1111.1,-1111.1,4.7,9,6,-1111.1,-1111.1
