"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.510","","07/01/2013","06/30/2014"
"AL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.546","","07/01/2013","06/30/2014"
"AR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.483","","07/01/2013","06/30/2014"
"AS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"AZ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.502","","07/01/2013","06/30/2014"
"CA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.431","","07/01/2013","06/30/2014"
"CO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.442","","07/01/2013","06/30/2014"
"CT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.468","","07/01/2013","06/30/2014"
"DC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.512","","07/01/2013","06/30/2014"
"DE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.465","","07/01/2013","06/30/2014"
"FL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.520","","07/01/2013","06/30/2014"
"GA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.661","","07/01/2013","06/30/2014"
"GU","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","","07/01/2013","06/30/2014"
"HI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.149","","07/01/2013","06/30/2014"
"IA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.503","","07/01/2013","06/30/2014"
"ID","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.314","","07/01/2013","06/30/2014"
"IL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.439","","07/01/2013","06/30/2014"
"IN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.616","","07/01/2013","06/30/2014"
"KS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.397","","07/01/2013","06/30/2014"
"KY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.595","","07/01/2013","06/30/2014"
"LA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.663","","07/01/2013","06/30/2014"
"MA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.389","","07/01/2013","06/30/2014"
"MD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.490","","07/01/2013","06/30/2014"
"ME","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.730","","07/01/2013","06/30/2014"
"MI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.399","","07/01/2013","06/30/2014"
"MN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.382","","07/01/2013","06/30/2014"
