Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","OP-26","1017","283","204","1119","579","1019","11","01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTERS","OP-26","6133","144","1452","2181","8372","2118","1310","01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","OP-26","4936","0","144","274","306","381","5394","01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","OP-26","608","0","0","40","15","2","16","01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","OP-26","313","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010011","ST. VINCENT'S EAST","OP-26","2061","0","906","574","92","381","725","01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","OP-26","2818","96","1102","128","68","78","172","01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","OP-26","2977","0","154","957","1232","581","462","01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","OP-26","0","4342","0","0","262","0","0","01/01/2012","12/31/2012"
"010019","HELEN KELLER HOSPITAL","OP-26","2517","355","116","242","18","351","33","01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","OP-26","632","0","147","150","559","139","4","01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","OP-26","758","113","27","3","5","9","38","01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","OP-26","2702","153","331","145","64","394","909","01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","OP-26","685","24","111","315","48","450","808","01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","OP-26","1582","872","11","1258","64","625","1034","01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","OP-26","238","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","OP-26","3854","0","51","753","240","562","2123","01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","OP-26","1245","4","30","95","9","18","7","01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","OP-26","2781","1207","2360","1088","1622","1033","63","01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","OP-26","49","0","1","2","2","13","32","01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","OP-26","2899","134","54","170","75","149","175","01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","OP-26","16664","1307","43881","15921","14128","6910","2759","01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","OP-26","3411","0","865","739","87","339","202","01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","OP-26","677","207","0","16","8","26","24","01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","OP-26","11","0","15","272","728","124","242","01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010049","MEDICAL CENTER ENTERPRISE","OP-26","1925","100","131","228","63","33","29","01/01/2012","12/31/2012"
"010051","GREENE COUNTY HEALTH SYSTEM","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010054","DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS","OP-26","1032","50","0","0","6","136","0","01/01/2012","12/31/2012"
"010055","FLOWERS HOSPITAL","OP-26","4639","329","2473","1044","1302","3569","653","01/01/2012","12/31/2012"
"010056","ST VINCENT'S BIRMINGHAM","OP-26","9866","0","8081","4565","186","433","762","01/01/2012","12/31/2012"
"010058","BIBB MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010059","LAWRENCE MEDICAL CENTER","OP-26","636","0","0","5","153","0","7","01/01/2012","12/31/2012"
"010061","HIGHLANDS MEDICAL CENTER","OP-26","1920","196","0","124","68","127","29","01/01/2012","12/31/2012"
"010062","WIREGRASS MEDICAL CENTER","OP-26","402","0","45","3","65","0","12","01/01/2012","12/31/2012"
"010065","RUSSELL HOSPITAL","OP-26","1959","529","220","274","75","318","270","01/01/2012","12/31/2012"
"010069","MEDICAL CENTER BARBOUR","OP-26","653","1","4","15","49","153","7","01/01/2012","12/31/2012"
"010073","CLAY COUNTY HOSPITAL","OP-26","360","111","0","2","2","0","0","01/01/2012","12/31/2012"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","OP-26","3236","234","286","107","182","1298","502","01/01/2012","12/31/2012"
"010079","ATHENS-LIMESTONE HOSPITAL","OP-26","2002","390","76","210","30","80","26","01/01/2012","12/31/2012"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","OP-26","6124","300","2880","1426","1197","667","416","01/01/2012","12/31/2012"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","OP-26","703","0","1","434","1273","298","217","01/01/2012","12/31/2012"
"010086","NORTHWEST MEDICAL CENTER","OP-26","20","0","2","8","0","3","4","01/01/2012","12/31/2012"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","OP-26","1","0","18","342","6","0","199","01/01/2012","12/31/2012"
"010089","WALKER BAPTIST MEDICAL CENTER","OP-26","3295","817","3857","685","10","389","67","01/01/2012","12/31/2012"
