"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","5","0","13","","07/01/2010","06/30/2013"
"AL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","48","0","50","","07/01/2010","06/30/2013"
"AR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","28","1","46","","07/01/2010","06/30/2013"
"AS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","49","0","23","","07/01/2010","06/30/2013"
"CA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","216","4","108","","07/01/2010","06/30/2013"
"CO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","36","","07/01/2010","06/30/2013"
"CT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","29","1","1","","07/01/2010","06/30/2013"
"DC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","2","","07/01/2010","06/30/2013"
"DE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","1","","07/01/2010","06/30/2013"
"FL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","158","5","19","","07/01/2010","06/30/2013"
"GA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","70","0","67","","07/01/2010","06/30/2013"
"GU","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","12","0","4","","07/01/2010","06/30/2013"
"IA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","80","","07/01/2010","06/30/2013"
"ID","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","10","0","24","","07/01/2010","06/30/2013"
"IL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","110","6","65","","07/01/2010","06/30/2013"
"IN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","69","0","50","","07/01/2010","06/30/2013"
"KS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","28","0","90","","07/01/2010","06/30/2013"
"KY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","51","0","42","","07/01/2010","06/30/2013"
"LA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","48","0","51","","07/01/2010","06/30/2013"
"MA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","54","3","7","","07/01/2010","06/30/2013"
"MD","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","41","1","5","","07/01/2010","06/30/2013"
"ME","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","3","","07/01/2010","06/30/2013"
"MI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","73","7","47","","07/01/2010","06/30/2013"
"MN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","34","0","84","","07/01/2010","06/30/2013"
"MO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","55","2","55","","07/01/2010","06/30/2013"
