"Measure Name","Measure ID","Condition","Category","Score","Footnote","Measure Start Date","Measure End Date"
"Heart attack patients given a prescription for a statin at discharge Higher percentages are better","AMI_10","Heart Attack or Chest Pain","Statin at Discharge","99","","07/01/2013","06/30/2014"
"Heart attack patients given aspirin at discharge Higher percentages are better","AMI_2","Heart Attack or Chest Pain","Aspirin prescribed at discharge","99","","07/01/2013","06/30/2014"
"Heart attack patients who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","AMI_7a","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","57","","07/01/2013","06/30/2014"
"Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","AMI_8a","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","96","","07/01/2013","06/30/2014"
"Children who received reliever medication while hospitalized for asthma Higher percentages are better","CAC_1","Children's Asthma","Relievers for Inpatient Asthma","100","","07/01/2013","06/30/2014"
"Children who received systemic corticosteroid medication (oral and IV medication that reduces inflammation and controls symptoms) while hospitalized for asthma Higher percentages are better","CAC_2","Children's Asthma","Systemic Corticosteroids for Inpatient Asthma","100","","07/01/2013","06/30/2014"
"Children and their caregivers who received a home management plan of care document while hospitalized for asthma Higher percentages are better","CAC_3","Children's Asthma","Home Management Plan of Care Document","90","","07/01/2013","06/30/2014"
"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","Emergency Department","ED1","273","","07/01/2013","06/30/2014"
"","ED_1b_HIGH_MIN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_1b_LOW_MIN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_1b_MODERATE_MIN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_1b_OVERALL_MIN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","248","","07/01/2013","06/30/2014"
"","ED_1b_VERY_HIGH_MIN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","253","","07/01/2013","06/30/2014"
"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","Emergency Department","ED2","96","","07/01/2013","06/30/2014"
"","ED_2b_HIGH_MIN","Emergency Department","ED2 - Admit decision time to emergency department departure time for admitted patient","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_2b_LOW_MIN","Emergency Department","ED2 - Admit decision time to emergency department departure time for admitted patient","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_2b_MODERATE_MIN","Emergency Department","ED2 - Admit decision time to emergency department departure time for admitted patient","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","ED_2b_OVERALL_MIN","Emergency Department","ED2 - Admit decision time to emergency department departure time for admitted patient","80","","07/01/2013","06/30/2014"
"","ED_2b_VERY_HIGH_MIN","Emergency Department","ED2 - Admit decision time to emergency department departure time for admitted patient","83","","07/01/2013","06/30/2014"
"Heart failure patients given discharge instructions Higher percentages are better","HF_1","Heart Failure","Discharge instructions","95","","07/01/2013","06/30/2014"
"Heart failure patients given an evaluation of left ventricular systolic (LVS) function Higher percentages are better","HF_2","Heart Failure","Evaluation of LVS Function","99","","07/01/2013","06/30/2014"
"Heart failure patients given ACE inhibitor or ARB for left ventricular systolic dysfunction (LVSD) Higher percentages are better","HF_3","Heart Failure","ACEI or ARB for LVSD","97","","07/01/2013","06/30/2014"
"Patients assessed and given influenza vaccination Higher percentages are better","IMM_2","Preventive Care","Immunization for influenza","93","","10/01/2013","03/31/2014"
"Healthcare workers given influenza vaccination Higher percentages are better","IMM_3_FAC_ADHPCT","Preventive Care","Healthcare workers given influenza vaccination","79","","10/01/2013","03/31/2014"
"Median Time to Fibrinolysis","OP_1","Heart Attack or Chest Pain","Median Time to Fibrinolysis","27","","07/01/2013","06/30/2014"
"Average time patients spent in the emergency department before being sent home A lower number of minutes is better","OP_18b","Emergency Department","OP 18","135","","07/01/2013","06/30/2014"
"","OP_18b_HIGH_MIN","Emergency Department","OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_18b_LOW_MIN","Emergency Department","OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_18b_MODERATE_MIN","Emergency Department","OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_18b_OVERALL_MIN","Emergency Department","OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients","136","","07/01/2013","06/30/2014"
"","OP_18b_VERY_HIGH_MIN","Emergency Department","OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients","136","","07/01/2013","06/30/2014"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","60","","07/01/2013","06/30/2014"
"Average time patients spent in the emergency department before they were seen by a healthcare professional A lower number of minutes is better","OP_20","Emergency Department","Door to diagnostic eval","24","","07/01/2013","06/30/2014"
"","OP_20_HIGH_MIN","Emergency Department","OP20 - Door to diagnostic evaluation by a qualified medical professional","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_20_LOW_MIN","Emergency Department","OP20 - Door to diagnostic evaluation by a qualified medical professional","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_20_MODERATE_MIN","Emergency Department","OP20 - Door to diagnostic evaluation by a qualified medical professional","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"","OP_20_OVERALL_MIN","Emergency Department","OP20 - Door to diagnostic evaluation by a qualified medical professional","24","","07/01/2013","06/30/2014"
"","OP_20_VERY_HIGH_MIN","Emergency Department","OP20 - Door to diagnostic evaluation by a qualified medical professional","24","","07/01/2013","06/30/2014"
"Average time patients who came to the emergency department with broken bones had to wait before receiving pain medication A lower number of minutes is better","OP_21","Emergency Department","Median time to pain med","54","","07/01/2013","06/30/2014"
"Percentage of patients who left the emergency department before being seen Lower percentages are better","OP_22","Emergency Department","Left before being seen","2","","07/01/2013","06/30/2014"
