Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.856479","8 out of 10","0 out of 9","8 out of 10"
"410010","WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND","101 DUDLEY STREET","Providence","RI","02905","PROVIDENCE","0.988553","0 out of 10","1 out of 9","1 out of 10"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","Auburn","IN","46706","DE KALB","0.958981","2 out of 10","3 out of 9","3 out of 10"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","Asheboro","NC","27203","RANDOLPH","0.960637","2 out of 10","2 out of 9","2 out of 10"
"500033","SAMARITAN HOSPITAL","801 EAST WHEELER ROAD","Moses Lake","WA","98837","GRANT","0.920842","4 out of 10","0 out of 9","4 out of 10"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","1.061801","0 out of 10","0 out of 9","0 out of 10"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","Hartford","CT","06102","HARTFORD","0.989955","0 out of 10","0 out of 9","0 out of 10"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","Fayetteville","AR","72703","WASHINGTON","1.018695","0 out of 10","0 out of 9","0 out of 10"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","Derry","NH","03038","ROCKINGHAM","0.994995","0 out of 10","3 out of 9","3 out of 10"
"050434","COLUSA REGIONAL MEDICAL CENTER","199 EAST WEBSTER ST","Colusa","CA","95932","COLUSA","0.902233","5 out of 10","0 out of 9","5 out of 10"
"450155","HEREFORD REGIONAL MEDICAL CENTER","801 EAST THIRD","Hereford","TX","79045","DEAF SMITH","0.901288","5 out of 10","6 out of 9","6 out of 10"
"500084","VALLEY GENERAL HOSPITAL","14701 179TH SE","Monroe","WA","98272","SNOHOMISH","0.918093","4 out of 10","0 out of 9","4 out of 10"
"390044","READING HOSPITAL","SIXTH AVENUE AND SPRUCE ST","West Reading","PA","19611","BERKS","1.037340","0 out of 10","0 out of 9","0 out of 10"
"110016","WEST GEORGIA MEDICAL CENTER","1514 VERNON ROAD","Lagrange","GA","30240","TROUP","0.939577","3 out of 10","0 out of 9","3 out of 10"
"430091","BLACK HILLS SURGICAL HOSPITAL LLP","216 ANAMARIA DR","Rapid City","SD","57701","PENNINGTON","0.897181","6 out of 10","0 out of 9","6 out of 10"
"080009","BAYHEALTH - MILFORD MEMORIAL HOSPITAL","21 WEST CLARKE AVENUE","Milford","DE","19963","SUSSEX","0.969874","1 out of 10","0 out of 9","1 out of 10"
"330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","Bethpage","NY","11714","NASSAU","1.088116","0 out of 10","1 out of 9","1 out of 10"
"330268","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DRIVE","Cobleskill","NY","12043","SCHOHARIE","0.883001","6 out of 10","0 out of 9","6 out of 10"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","Bend","OR","97701","DESCHUTES","0.935656","3 out of 10","0 out of 9","3 out of 10"
"390119","MOSES TAYLOR HOSPITAL","700 QUINCY AVENUE","Scranton","PA","18510","LACKAWANNA","1.158861","0 out of 10","0 out of 9","0 out of 10"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.959153","2 out of 10","2 out of 9","2 out of 10"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","0.931182","4 out of 10","0 out of 9","4 out of 10"
"440053","SAINT THOMAS RUTHERFORD HOSPITAL","1700 MEDICAL CENTER PARKWAY","Murfreesboro","TN","37129","RUTHERFORD","0.986666","0 out of 10","0 out of 9","0 out of 10"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","Tawas City","MI","48764","IOSCO","0.885022","6 out of 10","3 out of 9","6 out of 10"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.890771","6 out of 10","4 out of 9","6 out of 10"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","0.866284","7 out of 10","0 out of 9","7 out of 10"
"450851","BAYLOR HEART AND VASCULAR HOSPITAL","621 NORTH HALL STREET","Dallas","TX","75226","DALLAS","0.995958","0 out of 10","0 out of 9","0 out of 10"
