Hospital Name,HCAHPS Question,HCAHPS Answer Description,HCAHPS Answer Percent
ELMHURST HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,35
BELLEVUE HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,41
HARLEM HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",42
ELMHURST HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",44
ELMHURST HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",45
KINGS COUNTY HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",45
JACOBI MEDICAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",47
HARLEM HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",48
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",48
METROPOLITAN HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",49
JACOBI MEDICAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,49
BELLEVUE HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",49
NORTH CENTRAL BRONX HOSPITAL,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",49
METROPOLITAN HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,50
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,50
JACOBI MEDICAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",50
HARLEM HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",50
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",51
CONEY ISLAND HOSPITAL,How often was the area around patients rooms kept quiet at night?,Always quiet at night,51
JACOBI MEDICAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",51
HARLEM HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",51
ELMHURST HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",52
QUEENS HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,52
CONEY ISLAND HOSPITAL,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",52
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",52
