"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"AL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2013","12/31/2013"
"AR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","","01/01/2013","12/31/2013"
"AS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"AZ","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2013","12/31/2013"
"CA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2013","12/31/2013"
"CO","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"CT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2013","12/31/2013"
"DC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"DE","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"FL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.04","","01/01/2013","12/31/2013"
"GA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"GU","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"HI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.87","","01/01/2013","12/31/2013"
"IA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","","01/01/2013","12/31/2013"
"ID","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2013","12/31/2013"
"IL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2013","12/31/2013"
"IN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.02","","01/01/2013","12/31/2013"
"KS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2013","12/31/2013"
"KY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2013","12/31/2013"
"LA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.03","","01/01/2013","12/31/2013"
"MA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.03","","01/01/2013","12/31/2013"
"MD","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"ME","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2013","12/31/2013"
"MI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2013","12/31/2013"
"MN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.90","","01/01/2013","12/31/2013"
"MO","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"MP","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"MS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"MT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.88","","01/01/2013","12/31/2013"
"NC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2013","12/31/2013"
"ND","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"NE","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2013","12/31/2013"
"NH","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"NJ","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.07","","01/01/2013","12/31/2013"
"NM","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.87","","01/01/2013","12/31/2013"
"NV","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.02","","01/01/2013","12/31/2013"
"NY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2013","12/31/2013"
"OH","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.02","","01/01/2013","12/31/2013"
"OK","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2013","12/31/2013"
"OR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.89","","01/01/2013","12/31/2013"
"PA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2013","12/31/2013"
"PR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"RI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2013","12/31/2013"
"SC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2013","12/31/2013"
"SD","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"TN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","","01/01/2013","12/31/2013"
"TX","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.04","","01/01/2013","12/31/2013"
"UT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2013","12/31/2013"
"VA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"VI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2013","12/31/2013"
"VT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"WA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2013","12/31/2013"
"WI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2013","12/31/2013"
"WV","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2013","12/31/2013"
"WY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2013","12/31/2013"
