"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"AK","Acute myocardial infarction, discharged alive w/o CC/MCC","53","","10/01/2012","09/30/2013"
"AL","Acute myocardial infarction, discharged alive w/o CC/MCC","582","","10/01/2012","09/30/2013"
"AR","Acute myocardial infarction, discharged alive w/o CC/MCC","352","","10/01/2012","09/30/2013"
"AS","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Acute myocardial infarction, discharged alive w/o CC/MCC","395","","10/01/2012","09/30/2013"
"CA","Acute myocardial infarction, discharged alive w/o CC/MCC","2169","","10/01/2012","09/30/2013"
"CO","Acute myocardial infarction, discharged alive w/o CC/MCC","230","","10/01/2012","09/30/2013"
"CT","Acute myocardial infarction, discharged alive w/o CC/MCC","417","","10/01/2012","09/30/2013"
"DC","Acute myocardial infarction, discharged alive w/o CC/MCC","89","","10/01/2012","09/30/2013"
"DE","Acute myocardial infarction, discharged alive w/o CC/MCC","86","","10/01/2012","09/30/2013"
"FL","Acute myocardial infarction, discharged alive w/o CC/MCC","2047","","10/01/2012","09/30/2013"
"GA","Acute myocardial infarction, discharged alive w/o CC/MCC","723","","10/01/2012","09/30/2013"
"GU","Acute myocardial infarction, discharged alive w/o CC/MCC","44","","10/01/2012","09/30/2013"
"HI","Acute myocardial infarction, discharged alive w/o CC/MCC","116","","10/01/2012","09/30/2013"
"IA","Acute myocardial infarction, discharged alive w/o CC/MCC","337","","10/01/2012","09/30/2013"
"ID","Acute myocardial infarction, discharged alive w/o CC/MCC","108","","10/01/2012","09/30/2013"
"IL","Acute myocardial infarction, discharged alive w/o CC/MCC","984","","10/01/2012","09/30/2013"
"IN","Acute myocardial infarction, discharged alive w/o CC/MCC","695","","10/01/2012","09/30/2013"
"KS","Acute myocardial infarction, discharged alive w/o CC/MCC","280","","10/01/2012","09/30/2013"
"KY","Acute myocardial infarction, discharged alive w/o CC/MCC","673","","10/01/2012","09/30/2013"
"LA","Acute myocardial infarction, discharged alive w/o CC/MCC","394","","10/01/2012","09/30/2013"
"MA","Acute myocardial infarction, discharged alive w/o CC/MCC","813","","10/01/2012","09/30/2013"
"MD","Acute myocardial infarction, discharged alive w/o CC/MCC","794","","10/01/2012","09/30/2013"
"ME","Acute myocardial infarction, discharged alive w/o CC/MCC","360","","10/01/2012","09/30/2013"
"MI","Acute myocardial infarction, discharged alive w/o CC/MCC","1164","","10/01/2012","09/30/2013"
"MN","Acute myocardial infarction, discharged alive w/o CC/MCC","466","","10/01/2012","09/30/2013"
"MO","Acute myocardial infarction, discharged alive w/o CC/MCC","623","","10/01/2012","09/30/2013"
"MP","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Acute myocardial infarction, discharged alive w/o CC/MCC","396","","10/01/2012","09/30/2013"
"MT","Acute myocardial infarction, discharged alive w/o CC/MCC","77","","10/01/2012","09/30/2013"
"NC","Acute myocardial infarction, discharged alive w/o CC/MCC","1177","","10/01/2012","09/30/2013"
"ND","Acute myocardial infarction, discharged alive w/o CC/MCC","83","","10/01/2012","09/30/2013"
"NE","Acute myocardial infarction, discharged alive w/o CC/MCC","196","","10/01/2012","09/30/2013"
"NH","Acute myocardial infarction, discharged alive w/o CC/MCC","153","","10/01/2012","09/30/2013"
